DATE,TYPE,TESTED,RECOVERED,VACCINATED 2 ,VACCINATED 1,CONFIRMED ,DECEASED
02-07-2020,delta,241576,19999,0,0,21947,378
03-07-2020,delta7,1543425,98402,0,0,140441,2981
03-07-2020,total,9540132,394321,0,0,649886,18670
03-07-2020,delta,242383,14417,0,0,22718,444
04-07-2020,delta,248934,14746,0,0,24018,611
04-07-2020,total,9789066,409067,0,0,673904,19281
04-07-2020,delta7,1561264,98919,0,0,144317,3178
05-07-2020,delta,180596,15829,0,0,23942,421
05-07-2020,total,9969662,424896,0,0,697846,19702
05-07-2020,delta7,1571300,103117,0,0,148649,3215
06-07-2020,total,10211092,440211,0,0,720346,20175
06-07-2020,delta,241430,15315,0,0,22500,473
06-07-2020,delta7,1602438,104935,0,0,152810,3271
07-07-2020,total,10473771,457049,0,0,743494,20654
07-07-2020,delta,262679,16838,0,0,23148,479
07-07-2020,delta7,1647186,109208,0,0,157703,3244
08-07-2020,total,10740832,476557,0,0,769055,21146
08-07-2020,delta,267061,19508,0,0,25561,492
08-07-2020,delta7,1684659,116652,0,0,163834,3298
09-07-2020,delta7,1726742,116061,0,0,167677,3399
09-07-2020,delta,283659,19408,0,0,25790,479
09-07-2020,total,11024491,495965,0,0,794845,21625
10-07-2020,delta7,1766870,121933,0,0,172708,3475
10-07-2020,total,11307002,516254,0,0,822594,22145
10-07-2020,delta,282511,20289,0,0,27749,520
11-07-2020,delta,280151,19981,0,0,27754,541
11-07-2020,total,11587153,536235,0,0,850348,22686
11-07-2020,delta7,1798087,127168,0,0,176444,3405
12-07-2020,total,11806256,554433,0,0,879454,23183
12-07-2020,delta,219103,18198,0,0,29106,497
12-07-2020,delta7,1836594,129537,0,0,181608,3481
13-07-2020,total,12092503,572116,0,0,907632,23724
13-07-2020,delta7,1881411,131905,0,0,187286,3549
13-07-2020,delta,286247,17683,0,0,28178,541
14-07-2020,delta7,1938893,136043,0,0,194055,3652
14-07-2020,delta,320161,20976,0,0,29917,582
14-07-2020,total,12412664,593092,0,0,937549,24306
15-07-2020,delta7,1998658,137181,0,0,201101,3774
15-07-2020,total,12739490,613738,0,0,970156,24920
15-07-2020,delta,326826,20646,0,0,32607,614
16-07-2020,total,13072718,636605,0,0,1005624,25600
16-07-2020,delta,333228,22867,0,0,35468,680
16-07-2020,delta7,2048227,140640,0,0,210779,3975
17-07-2020,total,13433742,654091,0,0,1040448,26276
17-07-2020,delta7,2126740,137837,0,0,217854,4131
17-07-2020,delta,361024,17486,0,0,34824,676
18-07-2020,total,13791869,677673,0,0,1077859,26819
18-07-2020,delta,358127,23582,0,0,37411,543
18-07-2020,delta7,2204716,141438,0,0,227511,4133
19-07-2020,delta7,2241652,145970,0,0,238640,4311
19-07-2020,total,14047908,700403,0,0,1118094,27494
19-07-2020,delta,256039,22730,0,0,40235,675
20-07-2020,delta,333395,24303,0,0,36806,596
20-07-2020,delta7,2288800,152590,0,0,247268,4366
20-07-2020,total,14381303,724706,0,0,1154900,28090
21-07-2020,delta7,2311882,159203,0,0,256521,4455
21-07-2020,delta,343243,27589,0,0,39170,671
21-07-2020,total,14724546,752295,0,0,1194070,28761
22-07-2020,delta,350823,31875,0,0,45601,1130
22-07-2020,total,15075369,784170,0,0,1239671,29891
22-07-2020,delta7,2335879,170432,0,0,269515,4971
23-07-2020,total,15428170,817496,0,0,1288114,30646
23-07-2020,delta,352801,33326,0,0,48443,755
23-07-2020,delta7,2355452,180891,0,0,282490,5046
24-07-2020,total,15849068,850010,0,0,1337002,31409
24-07-2020,delta7,2415326,195919,0,0,296554,5133
24-07-2020,delta,420898,32514,0,0,48888,763
25-07-2020,total,16291331,887135,0,0,1387074,32112
25-07-2020,delta,442263,37125,0,0,50072,703
25-07-2020,delta7,2499462,209462,0,0,309215,5293
26-07-2020,total,16806803,918647,0,0,1436006,32816
26-07-2020,delta7,2758895,218244,0,0,317912,5322
26-07-2020,delta,515472,31512,0,0,48932,704
27-07-2020,total,17334885,953001,0,0,1482490,33458
27-07-2020,delta7,2953582,228295,0,0,327590,5368
27-07-2020,delta,528082,34354,0,0,46484,642
28-07-2020,delta7,3019194,236389,0,0,338051,5471
28-07-2020,delta,408855,35683,0,0,49631,774
28-07-2020,total,17743740,988684,0,0,1532121,34232
29-07-2020,delta7,3115013,237400,0,0,344929,5116
29-07-2020,total,18190382,1021570,0,0,1584600,35007
29-07-2020,delta,446642,32886,0,0,52479,775
30-07-2020,delta,642588,37425,0,0,54968,784
30-07-2020,total,18832970,1058995,0,0,1639568,35791
30-07-2020,delta7,3404800,241499,0,0,351454,5145
31-07-2020,total,19358659,1095549,0,0,1697054,36556
31-07-2020,delta,525689,36554,0,0,57486,765
31-07-2020,delta7,3509591,245539,0,0,360052,5147
01-08-2020,delta7,3530500,259782,0,0,365097,5298
01-08-2020,total,19821831,1146917,0,0,1752171,37410
01-08-2020,delta,463172,51368,0,0,55117,854
02-08-2020,total,20202858,1187272,0,0,1804843,38170
02-08-2020,delta,381027,40355,0,0,52672,760
02-08-2020,delta7,3396055,268625,0,0,368837,5354
03-08-2020,total,20864750,1230342,0,0,1855334,38976
03-08-2020,delta,661892,43070,0,0,50491,806
03-08-2020,delta7,3529865,277341,0,0,372844,5518
04-08-2020,delta7,3740662,292878,0,0,374495,5593
04-08-2020,total,21484402,1281562,0,0,1906616,39825
04-08-2020,delta,619652,51220,0,0,51282,849
05-08-2020,delta7,3958969,305575,0,0,378642,5737
05-08-2020,delta,664949,45583,0,0,56626,919
05-08-2020,total,22149351,1327145,0,0,1963242,40744
06-08-2020,delta,639042,50141,0,0,62170,899
06-08-2020,total,22788393,1377286,0,0,2025412,41643
06-08-2020,delta7,3955423,318291,0,0,385844,5852
07-08-2020,delta,598778,50387,0,0,61455,936
07-08-2020,total,23387171,1427673,0,0,2086867,42579
07-08-2020,delta7,4028512,332124,0,0,389813,6023
08-08-2020,delta,719364,52135,0,0,65156,875
08-08-2020,total,24106535,1479808,0,0,2152023,43454
08-08-2020,delta7,4284704,332891,0,0,399852,6044
09-08-2020,total,24583558,1534282,0,0,2214140,44467
09-08-2020,delta,477023,54474,0,0,62117,1013
