STATE,DATE ,TYPE ,TESTED,RECOVERED,VACCINATED 2,VACCINATED 1,CONFIRMED,DECEASED
AN,01-09-2020,delta7,4022,483,0,0,215,9
AN,02-09-2020,total,36136,2758,0,0,3186,47
AN,02-09-2020,delta,1032,44,0,0,26,1
AN,02-09-2020,delta7,4490,449,0,0,201,6
AN,03-09-2020,total,37075,2823,0,0,3223,48
AN,03-09-2020,delta,939,65,0,0,37,1
AN,03-09-2020,delta7,5245,449,0,0,205,6
AN,04-09-2020,delta,750,40,0,0,34,1
AN,04-09-2020,total,37825,2863,0,0,3257,49
AN,04-09-2020,delta7,5725,419,0,0,207,7
AN,05-09-2020,delta7,6167,385,0,0,211,6
AN,05-09-2020,total,38574,2904,0,0,3292,50
AN,05-09-2020,delta,749,41,0,0,35,1
AN,06-09-2020,total,39205,2951,0,0,3332,50
AN,06-09-2020,delta,631,47,0,0,40,0
AN,06-09-2020,delta7,6531,365,0,0,228,5
AN,07-09-2020,delta,790,46,0,0,27,0
AN,07-09-2020,delta7,6510,350,0,0,227,4
AN,07-09-2020,total,39995,2997,0,0,3359,50
AN,08-09-2020,total,41039,3035,0,0,3392,50
AN,08-09-2020,delta,1044,38,0,0,33,0
AN,08-09-2020,delta7,5935,321,0,0,232,4
AN,09-09-2020,total,41776,3078,0,0,3426,51
AN,09-09-2020,delta7,5640,320,0,0,240,4
AN,09-09-2020,delta,737,43,0,0,34,1
AN,10-09-2020,delta,1016,43,0,0,39,0
AN,10-09-2020,delta7,5717,298,0,0,242,3
AN,10-09-2020,total,42792,3121,0,0,3465,51
AN,11-09-2020,delta,888,36,0,0,29,0
AN,11-09-2020,delta7,5855,294,0,0,237,2
AN,11-09-2020,total,43680,3157,0,0,3494,51
AN,12-09-2020,delta,890,45,0,0,27,0
AN,12-09-2020,delta7,5996,298,0,0,229,1
AN,12-09-2020,total,44570,3202,0,0,3521,51
AN,13-09-2020,total,45279,3243,0,0,3546,51
AN,13-09-2020,delta7,6074,292,0,0,214,1
AN,13-09-2020,delta,709,41,0,0,25,0
AN,14-09-2020,total,45987,3278,0,0,3557,52
AN,14-09-2020,delta,708,35,0,0,11,1
AN,14-09-2020,delta7,5992,281,0,0,198,2
AN,15-09-2020,delta7,5784,283,0,0,182,2
AN,15-09-2020,total,46823,3318,0,0,3574,52
AN,15-09-2020,delta,836,40,0,0,17,0
AN,16-09-2020,total,47794,3345,0,0,3593,52
AN,16-09-2020,delta7,6018,267,0,0,167,1
AN,16-09-2020,delta,971,27,0,0,19,0
AN,17-09-2020,total,48861,3378,0,0,3604,52
AN,17-09-2020,delta,1067,33,0,0,11,0
AN,17-09-2020,delta7,6069,257,0,0,139,1
AN,18-09-2020,delta7,6355,257,0,0,137,1
AN,18-09-2020,total,50035,3414,0,0,3631,52
AN,18-09-2020,delta,1174,36,0,0,27,0
AN,19-09-2020,delta,646,22,0,0,13,0
AN,19-09-2020,delta7,6111,234,0,0,123,1
AN,19-09-2020,total,50681,3436,0,0,3644,52
AN,20-09-2020,total,51262,3451,0,0,3651,52
AN,20-09-2020,delta,581,15,0,0,7,0
AN,20-09-2020,delta7,5983,208,0,0,105,1
AN,21-09-2020,total,52220,3469,0,0,3673,52
AN,21-09-2020,delta7,6233,191,0,0,116,0
AN,21-09-2020,delta,958,18,0,0,22,0
AN,22-09-2020,delta7,6022,161,0,0,117,0
AN,22-09-2020,delta,625,10,0,0,18,0
AN,22-09-2020,total,52845,3479,0,0,3691,52
AN,23-09-2020,delta7,5797,149,0,0,119,0
AN,23-09-2020,delta,746,15,0,0,21,0
AN,23-09-2020,total,53591,3494,0,0,3712,52
AN,24-09-2020,total,52992,3503,0,0,3744,52
AN,24-09-2020,delta,-599,9,0,0,32,0
AN,24-09-2020,delta7,4131,125,0,0,140,0
AN,25-09-2020,total,55169,3528,0,0,3759,52
AN,25-09-2020,delta7,5134,114,0,0,128,0
AN,25-09-2020,delta,2177,25,0,0,15,0
AN,26-09-2020,delta,890,23,0,0,15,0
AN,26-09-2020,delta7,5378,115,0,0,130,0
AN,26-09-2020,total,56059,3551,0,0,3774,52
AN,27-09-2020,total,56661,3553,0,0,3794,53
AN,27-09-2020,delta,602,2,0,0,20,1
AN,27-09-2020,delta7,5399,102,0,0,143,1
AN,28-09-2020,total,57343,3582,0,0,3803,53
AN,28-09-2020,delta7,5123,113,0,0,130,1
AN,28-09-2020,delta,682,29,0,0,9,0
AN,29-09-2020,delta7,5290,108,0,0,130,1
AN,29-09-2020,total,58135,3587,0,0,3821,53
AN,29-09-2020,delta,792,5,0,0,18,0
AN,30-09-2020,delta7,5172,114,0,0,123,1
AN,30-09-2020,delta,628,21,0,0,14,0
AN,30-09-2020,total,58763,3608,0,0,3835,53
AN,01-10-2020,total,59676,3623,0,0,3848,53
AN,01-10-2020,delta7,6684,120,0,0,104,1
